"ID","Author Name","Author Channel URL","Public","Published","Comment","Likes","Comment URL"
"UgwAMW4Xu7AnxSR-p3Z4AaABAg","MarkedEagle","https://www.youtube.com/channel/UCADsLzvwVcMts4xtxXw_odQ","true","2020-03-18 11:13:20","Great to see that we are downgrading","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgwAMW4Xu7AnxSR-p3Z4AaABAg"
"UgwUDN1Am7xW0wNMJdN4AaABAg","TERVEL LeuBomir Nakamoto","https://www.youtube.com/channel/UCbryrrcgJcyXGtFUaCPI8Jw","true","2020-03-18 11:13:20","Best Smartphone ?

Like = Samsung 

Comments =Apple","5","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgwUDN1Am7xW0wNMJdN4AaABAg"
"Ugz8xXY-f0PkczFSWKh4AaABAg","TV AwesomeParodys","https://www.youtube.com/channel/UCt2uA6vgNWpqj-UV6bzNPKw","true","2020-03-18 11:13:20","Samsung: Hey iPhone 8 Plus camera, can I copy your homework?
iPhone 8 Plus camera: Yeah but make it look different so that it doesn't look like you just copied it.
Samsung: Sure thing.","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugz8xXY-f0PkczFSWKh4AaABAg"
"Ugyi-92U8Ei65eXpzXl4AaABAg","Agus Sugianto","https://www.youtube.com/channel/UCmLncbE7eM55LT7BHr1SqIQ","true","2020-03-18 11:13:20","I love watching ads video because there's no ads in it.","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugyi-92U8Ei65eXpzXl4AaABAg"
"UgzAznj6eicY1qa5DQ94AaABAg","iTech Talk","https://www.youtube.com/channel/UCO9v5O-rmjGL8grVUJYpxiA","true","2020-03-18 11:13:20","@00:01 I don’t think samsung was first to making a folding smartphone, I think Royale flex was first ;)","1","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgzAznj6eicY1qa5DQ94AaABAg"
"UgyhTjvxgyrAImetsuh4AaABAg","Jorge Alberto Medina Morales","https://www.youtube.com/channel/UCsIcCtukv4dPMjB5ELQJlAg","true","2020-03-18 11:13:20","Ya mataron al Motorola zard","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgyhTjvxgyrAImetsuh4AaABAg"
"UgzUV32Gqa2O8WEXkAN4AaABAg","Ana and Roblox","https://www.youtube.com/channel/UCokjTARrzDStKkQwUJxzzNA","true","2020-03-18 11:13:20","Glass?","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgzUV32Gqa2O8WEXkAN4AaABAg"
"Ugzvwk2ndvxI3bRxAKp4AaABAg","James Sicat","https://www.youtube.com/channel/UC1TesQPms2j16Q6mgVGrQTA","true","2020-03-18 11:13:20","Motorola bankruptcy phase two","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugzvwk2ndvxI3bRxAKp4AaABAg"
"UgylP1GMWi7uolhXQVl4AaABAg","Saksham Gahlot","https://www.youtube.com/channel/UCagwiavHwnBwJ3yyi8nwZ2w","true","2020-03-18 11:13:20","did she say eggsactly ?","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgylP1GMWi7uolhXQVl4AaABAg"
"Ugwp9aMDnPKmNxIW8694AaABAg","G-Rated","https://www.youtube.com/channel/UCpkbxYPW98nxotYKrgnSPtw","true","2020-03-18 11:13:20","Glad Samsung isn't stopping with innovation. Fun new things on the horizon","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugwp9aMDnPKmNxIW8694AaABAg"
"UgxMvKGc-ueIZwPoZ7B4AaABAg","Few of my favorite things","https://www.youtube.com/channel/UCtMLc_dqZIxUmwWCNuB5_-g","true","2020-03-18 11:13:20","SO COOL","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgxMvKGc-ueIZwPoZ7B4AaABAg"
"UgwyVDJB_W5WMXqxtVZ4AaABAg","TheEmeraldChickn","https://www.youtube.com/channel/UCz8lmuLLkzXBrFe0iyMpADg","true","2020-03-18 11:13:20","But.. whats the issue with a normal phone?!","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgwyVDJB_W5WMXqxtVZ4AaABAg"
"UgxvtqcnKPA-A5_dk4h4AaABAg","Shadin Sabeer","https://www.youtube.com/channel/UCHkN3ktlMj_dTgz49Lip-9g","true","2020-03-18 11:13:20","You gotta be kidding me what's next Zflip trash can","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgxvtqcnKPA-A5_dk4h4AaABAg"
"Ugw64-IOCWBob8gGow54AaABAg","Steen Roefs","https://www.youtube.com/channel/UCbdzjgF5IYck-0uKA6EM6kA","true","2020-03-18 11:13:20","how are they going to make cases for this?","1","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugw64-IOCWBob8gGow54AaABAg"
"UgylUaDRzZnDEvhB5gh4AaABAg","Zoel Amp","https://www.youtube.com/channel/UCC7hjfpsO_PIxDvFZcPsY1g","true","2020-03-18 11:13:20","So this is the future of smartphones","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgylUaDRzZnDEvhB5gh4AaABAg"
"UgzY1xutOcrwXT_PNMN4AaABAg","Sam'sShortVids","https://www.youtube.com/channel/UCrJL1N8STRDoH3ev2YKJ4xg","true","2020-03-18 11:13:20","Apple fans: *_Yeah, but does it have iOS?_*","1","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgzY1xutOcrwXT_PNMN4AaABAg"
"UgzWpYhKc_BkKP91ywJ4AaABAg","AM Productions","https://www.youtube.com/channel/UC53zJn10pXCdRlZ4pOVLDBA","true","2020-03-18 11:13:20","So who wants to buy my iPhone?","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgzWpYhKc_BkKP91ywJ4AaABAg"
"UgziuzAsDa9YEWZqXFl4AaABAg","Billy Poydar","https://www.youtube.com/channel/UCUiyQC9ou1V4prMiqMgrWfw","true","2020-03-18 11:13:20","Billie Eilish!!","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgziuzAsDa9YEWZqXFl4AaABAg"
